127.0.0.1 - - [16/Mar/2018:09:33:58 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:33:58 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:33:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:34:50 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:34:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:35:07 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:35:15 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:38:06 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:38:10 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:39:28 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:39:47 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:40:41 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:40:59 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:41:21 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:46:18 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:46:18 +0900] "GET /Web_Project/CSS/style.css HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:46:32 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:46:33 +0900] "GET /Web_Project/CSS/style.css HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:49:40 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:50:34 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:50:36 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:50:57 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:50:57 +0900] "GET /Web_Project/css/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:51:48 +0900] "GET /Web_Project/css/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:51:51 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:51:51 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:52:25 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:52:43 +0900] "GET /Web_Project/CSS/c_exam.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [16/Mar/2018:09:52:43 +0900] "GET /Web_Project/CSS/css/style.css HTTP/1.1" 404 1052
